"","mse","r_squared","avg_abs_param_bias","causal_effect_bias","coverage","open_paths","blocked_paths","z_inclusion","benchmark"
"linear",0.00943922896544976,0.980490490693239,0.0316412138286606,-0.0121098563668984,0.95,2,2,1,374954
"stepwise",0.00946692071842269,0.980562187037887,0.0307614255014639,-0.0129430642120777,0.95,2,2,1,4417914.7
"two_step_LASSO",0.00950093966030171,0.980672531223215,0.0298138673771544,-0.0135772600923554,0.95,2,2,1,444142.65
"two_step_least_angle",0.00950093966030171,0.980672531223215,0.0298138673771544,-0.0135772600923554,0.95,2,2,1,773946.8
"two_step_inf_fwd_stage",0.00950093966030171,0.980672531223215,0.0298138673771544,-0.0135772600923554,0.95,2,2,1,504790.9
