"","intercept","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65"
"true_values",1,0.534846922834953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,NA
"linear",1.00173824083438,0.535311865279645,0.00149018700845719,-0.00120536221884147,-0.000200380174479373,0.000249554729499398,0.000394536125925072,0.000674257816244481,-0.00099649986393106,-0.000751191916017286,-0.000192258922129955,-0.000385683306402118,0.000765862829067751,0.000857221283380565,-0.000215583882290591,0.00107851641756219,-0.00028254054551165,0.000599475244207962,0.144815545788889,0.146726012987545,0.145040649961446,0.145090875186753,0.144830742107606,0.145490040310538,0.145632280729943,0.143255309117499,0.143687023143949,0.144847785581945,0.144880780319316,0.145804543635952,0.143427097074238,0.14276764976968,0.145164858165749,0.144839480839188,-0.000540338740289278,0.000125808381351635,-0.00110194151106544,4.26949404900189e-05,-0.000552619260750647,-0.000941750308570468,-0.000285665388761907,-0.000252873677867556,0.000921341793238456,0.000759011137149981,-0.00147105305063619,-0.00105918213532837,0.0004696580310901,-0.000300736469043888,-2.29672544832285e-05,0.000611145310868475,0.143127981750023,0.14460841421323,0.144258423457976,0.14264291874054,0.144200087561076,0.14450124768617,0.144200830449022,0.143699431078784,0.144602839320429,0.14307227256234,0.144760683013739,0.143688093859649,0.143574452680275,0.146307311155501,0.14390785409155,0.144668301062268,-0.00140724330078064
"stepwise",1.00163261911922,0.535399343515872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144937845244243,0.14670987842433,0.144966499541288,0.14510968099424,0.144812528858171,0.145481621746181,0.145581553200851,0.143231550308986,0.14368149415979,0.144860293286399,0.144895337285552,0.145807793473954,0.143472819726018,0.142733548737691,0.145199553445051,0.144809487032691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143100303905787,0.144561216633803,0.144220214315448,0.142616027179276,0.144238969754403,0.144480891959856,0.144125894996879,0.143706510186123,0.144601022652365,0.143056855287176,0.144760689417498,0.143620314739142,0.143504410402342,0.146263926185897,0.143832156551333,0.14468905634533,NA
"stepwise_X",1.00058708316486,0.535509762686902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000227146045327883,-0.000157757368546175,-0.00207752680907098,0.000102679524279604,7.91040527339944e-05,-0.000333068504500576,-0.000262433171416978,0.000435352938729237,0.000575510383511945,0.000197609615609262,-0.00166430687310246,-0.000885648257945555,0.000410259970979499,0.000258293123319343,-0.000225849475389714,0.000554838832367004,0.142383566410739,0.145112787764002,0.143650226252031,0.141952573937875,0.144680676612494,0.144829130809262,0.144295899886292,0.143699086688159,0.145390661744784,0.142524928291336,0.144193906421605,0.144470808648078,0.143692793266552,0.14596838500664,0.143895028458759,0.144414188532555,NA
"two_step_LASSO",1.00135318997848,0.535680480748747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144824287374254,0.146735985969254,0.145024979832043,0.145046279590247,0.144841734682199,0.145488179953899,0.145631861282377,0.143223548911498,0.143676313806662,0.144843760760531,0.144877412031432,0.145797727422265,0.143430210104316,0.142739087526083,0.145153810918696,0.144807638542295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143099055199142,0.14452958592865,0.144178780277552,0.14258062615454,0.144142666271977,0.1444382390726,0.144127279578601,0.143661162499858,0.14455200313475,0.143010780976093,0.144677000004973,0.143615729640326,0.143518103085401,0.146251641942353,0.143844034477827,0.144631970333444,NA
"two_step_LASSO_X",1.00160548852231,0.535248409563876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00017885181342586,0.000215466159485279,-0.00192138317981281,7.99898129874503e-05,-0.000113566241380374,1.34784798167979e-05,-0.000227299640973329,0.000346602581914906,0.000760895975442636,0.000439217170874918,-0.00170202932740294,-0.000837986781274004,0.000557132715112597,0.000436885359460464,7.22572277761639e-05,0.000549758508304066,0.143037611388618,0.144710682391621,0.144288319222971,0.142453983592895,0.144417922756054,0.144471981867371,0.144285223006054,0.143278863177428,0.144807417418843,0.142903948790446,0.144349147274143,0.14420752994426,0.143728227244696,0.146051143777972,0.144035345429523,0.144199733660545,NA
