"","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87","Z88","Z89","Z90","Z91","Z92","Z93","Z94","Z95","Z96","Z97","Z98","Z99","Z100","Z101","Z102","Z103","Z104","Z105","Z106","Z107","Z108","Z109","Z110","Z111","Z112","Z113","Z114","Z115","Z116","Z117","Z118","Z119","Z120","Z121","Z122","Z123","Z124","Z125","Z126","Z127","Z128","Z129"
"linear",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stepwise",1,0.698,0.6845,0.6895,0.693,0.6905,0.677,0.689,0.679,0.6715,0.6825,0.6825,0.68,0.6805,0.6805,0.6855,0.684,0.682,0.6945,0.6895,0.6765,0.6735,0.6865,0.6845,0.6875,0.704,0.6805,0.6895,0.686,0.677,0.673,0.682,0.6795,0.693,0.684,0.6915,0.671,0.6755,0.6725,0.6735,0.6835,0.6885,0.691,0.6875,0.697,0.6845,0.6955,0.6785,0.673,0.6815,0.677,0.685,0.6885,0.7005,0.6805,0.671,0.702,0.685,0.698,0.7,0.6875,0.673,0.703,0.672,0.674,0.6935,0.681,0.68,0.687,0.6895,0.703,0.6885,0.6695,0.662,0.6725,0.6945,0.682,0.7105,0.684,0.689,0.67,0.689,0.693,0.672,0.679,0.671,0.6965,0.6815,0.689,0.678,0.675,0.6845,0.6905,0.6965,0.6845,0.68,0.69,0.6825,0.695,0.677,0.6925,0.7035,0.667,0.7,0.6825,0.685,0.653,0.691,0.6845,0.704,0.6775,0.675,0.6735,0.699,0.679,0.6915,0.6925,0.6865,0.701,0.6865,0.7025,0.6835,0.666,0.673,0.678,0.69,0.675,0.6735,0.684,0.197
"stepwise_X",1,0.7855,0.787,0.794,0.8,0.783,0.7755,0.773,0.7655,0.786,0.7795,0.768,0.7695,0.7755,0.7875,0.787,0.7565,0.78,0.786,0.7765,0.7875,0.778,0.766,0.7705,0.767,0.783,0.7755,0.7775,0.7725,0.785,0.7855,0.771,0.7795,0.775,0.775,0.784,0.7705,0.771,0.8025,0.766,0.773,0.7945,0.7895,0.7785,0.782,0.7795,0.7855,0.7895,0.784,0.7955,0.7675,0.793,0.7795,0.7685,0.7735,0.7895,0.7835,0.777,0.7815,0.7815,0.784,0.775,0.789,0.79,0.776,0.7765,0.786,0.773,0.768,0.772,0.7735,0.7755,0.7875,0.783,0.7925,0.7765,0.782,0.7935,0.7885,0.779,0.786,0.782,0.785,0.7845,0.7815,0.776,0.778,0.781,0.7755,0.7915,0.7915,0.7915,0.7715,0.782,0.7825,0.783,0.7835,0.7755,0.784,0.7815,0.787,0.7885,0.7765,0.783,0.78,0.775,0.7685,0.7745,0.776,0.7795,0.785,0.767,0.7705,0.7875,0.7835,0.7775,0.7765,0.778,0.7775,0.782,0.763,0.7845,0.763,0.7735,0.8065,0.7815,0.779,0.784,0.7725,0.2085
"two_step_LASSO",1,0.9665,0.967,0.9665,0.9655,0.9735,0.9675,0.9715,0.9605,0.959,0.962,0.9675,0.961,0.97,0.9675,0.9655,0.9655,0.9665,0.971,0.9705,0.971,0.9705,0.969,0.968,0.967,0.965,0.9605,0.9665,0.9695,0.9625,0.963,0.973,0.967,0.97,0.966,0.967,0.973,0.9665,0.966,0.962,0.966,0.973,0.968,0.9635,0.9695,0.963,0.966,0.9635,0.967,0.9635,0.958,0.97,0.9685,0.97,0.959,0.9605,0.9715,0.968,0.971,0.9665,0.966,0.965,0.9725,0.9595,0.968,0.9675,0.9705,0.968,0.9695,0.9645,0.966,0.969,0.96,0.963,0.964,0.9705,0.973,0.968,0.975,0.97,0.968,0.9595,0.9705,0.9635,0.966,0.9655,0.969,0.9585,0.974,0.9645,0.9655,0.9595,0.968,0.9695,0.962,0.96,0.964,0.967,0.97,0.963,0.968,0.9745,0.963,0.9715,0.969,0.9685,0.9655,0.971,0.967,0.9705,0.9625,0.969,0.966,0.9695,0.9715,0.969,0.967,0.9685,0.9705,0.972,0.9665,0.9695,0.966,0.9605,0.97,0.9645,0.9685,0.965,0.9685,0.8405
"two_step_LASSO_X",1,0.985,0.9825,0.984,0.98,0.987,0.9835,0.988,0.983,0.9835,0.976,0.982,0.9815,0.9845,0.9835,0.98,0.984,0.979,0.981,0.982,0.9815,0.986,0.9775,0.9855,0.98,0.983,0.9795,0.9845,0.984,0.974,0.982,0.9825,0.984,0.982,0.9785,0.986,0.9855,0.9815,0.979,0.979,0.984,0.984,0.988,0.979,0.982,0.984,0.985,0.985,0.9785,0.9845,0.984,0.9825,0.9825,0.9795,0.975,0.9865,0.9825,0.986,0.982,0.98,0.981,0.9795,0.979,0.978,0.985,0.982,0.9885,0.9805,0.9805,0.9835,0.9865,0.985,0.981,0.982,0.988,0.983,0.985,0.9845,0.984,0.984,0.9805,0.9835,0.981,0.9885,0.9875,0.983,0.9785,0.984,0.988,0.988,0.987,0.979,0.982,0.9765,0.9825,0.9835,0.9845,0.982,0.985,0.987,0.988,0.98,0.987,0.982,0.9845,0.985,0.9805,0.985,0.9865,0.9805,0.9865,0.982,0.982,0.979,0.98,0.983,0.9765,0.988,0.982,0.9795,0.9815,0.985,0.979,0.9795,0.984,0.9815,0.9815,0.9835,0.9845,0.8515
