"","mse","r_squared","param_bias","causal_effect_bias","coverage","open_paths","blocked_paths","z_inclusion","benchmark"
"linear",0.0098419209446258,0.979133937522622,-0.000136910880788806,0.00101858167093619,0.93,1,1,1,369461.6
"stepwise",0.00987507574214208,0.979195448983838,-0.000799813252664891,0.000978586377718152,0.93,1,1,1,4218226.1
"two_step_LASSO",0.00988692884577735,0.97917506272691,0.000999386179081051,0.000959823378698964,0.93,1,1,1,368268.1
"two_step_least_angle",0.00988692884577735,0.97917506272691,0.000999386179081051,0.000959823378698964,0.93,1,1,1,358767.45
"two_step_inf_fwd_stage",0.00988692884577735,0.97917506272691,0.000999386179081051,0.000959823378698964,0.93,1,1,1,368448.5
