"","intercept","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65"
"true_values",1,0.25,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,0.102062072615966,NA
"linear",1.00074904477053,0.249417058383651,0.101727599446753,0.101197375212109,0.102035014419194,0.102130540916497,0.10385254203215,0.0995068668105506,0.10286205661127,0.103191584440741,0.101870285166751,0.103007885101841,0.103097126911154,0.101028575453885,0.101853015163329,0.104435232529151,0.102845860727026,0.101831797152132,0.102596145664296,0.102755665930361,0.100475915960418,0.100719843838787,0.100471010527269,0.102388502703311,0.103746578338433,0.10484793742083,0.104551220316574,0.101470885066142,0.100384248699829,0.100722509826836,0.100899675274023,0.101700540618169,0.10093863167505,0.102115047628036,0.100595845062551,0.102349646652572,0.102680707063442,0.102890736891658,0.0997940370491805,0.101276327207769,0.103146842273327,0.103630284353211,0.102659783859609,0.101768946103764,0.102518457857997,0.101921580553245,0.100613648201467,0.102655012560444,0.100212354284478,0.103121688029852,0.100469959189937,0.103456603632148,0.104065541654039,0.104005524579883,0.100140727139564,0.100401698596378,0.101037986411176,0.102691034546914,0.102395969336821,0.103983141525272,0.101557948438469,0.101609437119984,0.101861570794943,0.102124006252759,0.100404626234557,0.102385959042053,-0.00202646307097942
"stepwise",0.97274184705501,0.277328259444254,0.0826849503819115,0.0821562076622652,0.083569829773195,0.0831875351709253,0.0849565543602938,0.0806079540203755,0.0838245986108201,0.0839765423160187,0.0830747905178024,0.0853629459111384,0.0845292893984604,0.0821778734299189,0.0834786170809605,0.0869401981045023,0.0860404382083216,0.083162029572745,0.0842950297531767,0.0837136760716999,0.0816352420247595,0.0834848589231637,0.0816192244583698,0.0848570763449228,0.0846272892615267,0.0870584270290054,0.0861969001931782,0.0828635193856982,0.0812947586965594,0.0829591673733267,0.0816093174635982,0.0827182499839575,0.0821270704684525,0.0832285928986386,0.0813993852574295,0.0833595844820687,0.0849228619369498,0.0838408925388501,0.0812956978518291,0.0822894621569129,0.084708428261447,0.0856412144357626,0.0848888324095641,0.083408524826523,0.0837676805422362,0.0824425222272282,0.0817814355000357,0.0847081061550419,0.0811023618637368,0.0856153883597713,0.082159170293464,0.0843276700104661,0.0850648577800279,0.0858546937417183,0.0802022608197957,0.0813384281282213,0.082443128912365,0.0841672219643276,0.0834773453893779,0.0850679176655004,0.0820900856047391,0.0828346081426663,0.0836442561272471,0.0829879820455692,0.0824524113805115,0.0834595460750792,-0.00139643713059421
"stepwise_X",0.972032897321889,0.27784325310744,0.0594518576523522,0.059023091613386,0.0595806360368252,0.0621077162106672,0.061185638533189,0.0587778901259168,0.0618309539530848,0.0616283432876001,0.0605358756370271,0.0600655802445279,0.0620167344602685,0.0608194495726997,0.0599992677292807,0.060426905433549,0.0616092687802102,0.0604993813000259,0.0612879661052741,0.060093487584567,0.0579341512713092,0.0598682442313133,0.0586288701681847,0.0590269982615595,0.0622869171493951,0.0636156988388186,0.0617121657462556,0.0606546651324221,0.0590314384865521,0.0602693774531357,0.0616092706349602,0.0605068371773232,0.0572108047756429,0.0610842099356745,0.0585669011182898,0.0598950903645761,0.0609843423043041,0.0629468210118491,0.0623817728040165,0.062176132851037,0.0629154397935027,0.059963135352495,0.0611990310968819,0.0615035850135576,0.0602315000653548,0.0591641674827123,0.0582203653482194,0.0616766167453236,0.0589624067325769,0.0631784039343312,0.0600971464208693,0.0622439232317166,0.0598898039783075,0.0606996778096571,0.0599634105567199,0.0594518589296616,0.0590328864745586,0.061441658997366,0.0629053859385612,0.0629727092590807,0.0594664835735864,0.0619460881518199,0.0597739863292782,0.0603318369325575,0.0628840878136086,0.058121007803597,0.000471580058634618
"two_step_LASSO",0.999067766007579,0.251068218927027,0.100404810760169,0.0999174994316898,0.101119824509368,0.100967861017259,0.102797129508042,0.0980949333065487,0.10155063067345,0.101972184090824,0.100712674515122,0.101819235347983,0.101915029954754,0.0997307609703099,0.100798978644086,0.103413007380789,0.101877521314373,0.100817721031809,0.101568497426151,0.101556900422563,0.0993698404814696,0.0994644440825319,0.0992813702752461,0.101242732462972,0.102552633965317,0.103728364562632,0.103647579910936,0.100378442518469,0.0990374249245951,0.0994065421607912,0.0996265383793687,0.100545298658072,0.0997380430977433,0.10079096965061,0.0995265031317619,0.101126391240416,0.101715799604319,0.101582261586048,0.0986771949032714,0.100172702544647,0.10213085615131,0.102609016812877,0.101487835857304,0.100643011760033,0.101115679249225,0.100656393657773,0.0996351087685426,0.101345215446255,0.0991561089381195,0.101954237255593,0.0993899696725182,0.102066438768627,0.103150993885604,0.103018869411564,0.098945031491397,0.0992749608294778,0.099886922351944,0.101816335017955,0.10127651207482,0.102949223660971,0.100328320925763,0.100498730420313,0.100879875579079,0.101108567824489,0.0993908069512,0.101294384619967,-0.00182594138520714
"two_step_LASSO_X",0.999387429234029,0.250631354735029,0.0922686543866964,0.0908147641399683,0.0920675151328103,0.0929094864148125,0.0948404172825976,0.091358919489782,0.0920608490215743,0.0940956996152045,0.0927731599509209,0.0924797451662062,0.0942347861988205,0.0915563969812026,0.0934834335291959,0.0954799873869891,0.0954479224921922,0.0923855979663408,0.0923047879581003,0.0931483161588438,0.0898971538159867,0.0916433594875058,0.0905691641290088,0.0927826768517827,0.0941410756490603,0.0946904684623225,0.0946902987306593,0.0922843606116336,0.0913900423455707,0.0915267187237182,0.0915761664398441,0.0935840304423257,0.0897879789176285,0.0927705000605466,0.0916518405012618,0.0923983490590694,0.0940526193637282,0.0926177268654105,0.0908465193264919,0.0919333162634149,0.0935452030294384,0.0929371863921457,0.0930879524600178,0.0925691228233043,0.0932003321474689,0.0912691035523166,0.0906705186952599,0.0936641337448249,0.0900028605599026,0.0935922337890465,0.0910285933319195,0.0948186780226405,0.0936422559677893,0.0938557635813537,0.0912371320962424,0.0914969567063242,0.0912651974351921,0.093618182229956,0.0946799708932278,0.0946072474950009,0.0928330832520292,0.0919005374373172,0.0920785111197649,0.0936792217586766,0.0907818694554511,0.0925630256383944,-0.00135672354445315
