"","mse","r_squared","param_bias","causal_effect_bias","coverage","open_paths","blocked_paths","z_inclusion","benchmark"
"linear",0.00984288741595281,0.994680757107893,-0.000850271460233875,0.00110664216433015,0.95,1,1,1,1089968.19
"stepwise",0.00986952081621109,0.994684416396407,-0.00121443708984787,0.00115701874748411,0.95,1,1,1,8171286.39
"LASSO",0.0098491437443416,0.99496991384127,-0.0106431532267961,0.00112658043910519,NA,1,1,1,17886327.035
"least_angle",0.00981992590949164,0.994676226182409,0.00820194464467039,-0.000828842522748507,NA,1,1,1,1413208.34
"inf_fwd_stage",0.00981992590949164,0.994676226182409,0.00820194464467039,-0.000828842522748507,NA,1,1,1,578707.2971
