"","pred_mse","r_squared_X","r_squared_Y","model_SE","emp_SE","causal_effect_est","causal_effect_mcse","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths"
"linear",0.999352485342412,0.400986550469741,0.600155817145505,0.010084752323239,0.0100811274911009,0.534576691764728,0.000318793242544176,-0.000270231070224934,0.00857865299003984,0.951,2,2
"stepwise",0.999556370033577,0.400986550469741,0.600074282431426,0.00933029161714137,0.00932308380026121,0.534480431819932,0.000294821796254437,-0.000366491015021222,0.00616773458918484,0.942,2,2
"stepwise_X",1.2831440053607,0.400986550469741,0.486628372592716,0.0107087570545153,0.0107037540850491,0.534519785228914,0.000338482424230869,-0.000327137606039344,0.0691218137306665,0.961,2,2
"two_step_LASSO",0.999411837645485,0.400986550469741,0.600132079918125,0.00975206091259923,0.00973545558945043,0.534278351896217,0.000307862137220805,-0.000568570938736048,0.0075024089680223,0.936,2,2
"two_step_LASSO_X",1.18762271784934,0.400986550469741,0.524856062361182,0.0102157626586862,0.0102071008910267,0.534426540626826,0.000322776871227784,-0.00042038220812778,0.0487558791683346,0.964,2,2
