"","intercept","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65"
"true_values",1,0.25,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,0.153093108923949,NA
"linear",0.997267221469197,0.251430467891432,0.153400384056603,0.150653905994922,0.150096512800559,0.153505959725835,0.149098853053174,0.15371120336882,0.152498331434286,0.150524889966218,0.152356244969622,0.153356340305542,0.152663507400512,0.152749631679494,0.152507304204809,0.15588206654929,0.150858554063316,0.153901551197926,0.151745811345721,0.153235817299047,0.150565687157327,0.150481974498207,0.153815001610673,0.15529075422639,0.155563482965216,0.15053733976112,0.154041789108949,0.150353385674419,0.155563611238424,0.154698606575222,0.154573606401545,0.154540419524103,0.152439327709629,0.15599858598987,0.151946398926217,0.154000226546745,0.151629669465742,0.151941210651613,0.148689685829262,0.152458075660632,0.154187988319456,0.152251154360386,0.150798474627095,0.153170172986335,0.153575576768764,0.152691295900992,0.149424010668391,0.15242568753364,0.151619025386182,0.152160047370036,0.153911409267317,0.152219084169817,0.155544350783966,0.154393876198524,0.15277440410564,0.15071967939007,0.155206322325809,0.153265330931669,0.153321332268845,0.151668616538109,0.15045950742044,0.154173767394177,0.153994760295274,0.149845778459342,0.156159309517371,0.15044631017418,0.00485246026777838
"stepwise",0.968293417843098,0.280313403091435,0.129963517382127,0.124342880218457,0.124528603074594,0.127281107078954,0.122044089130696,0.1262741546409,0.128574862595724,0.12534711264759,0.127695656104309,0.128443908563473,0.127579818738364,0.127070642467607,0.127480684349816,0.131571785982189,0.126796685568537,0.129552170908168,0.127051378438985,0.128950044722848,0.124192592527186,0.12382188600538,0.130099136538007,0.130692726676843,0.130803769540032,0.1258251851895,0.129203000356008,0.127039735325018,0.131313298214797,0.130200943443885,0.129910516102073,0.129290561208166,0.128230036527679,0.13136749188689,0.127518207942906,0.129465485565498,0.126062660497116,0.12812862861954,0.126193836303429,0.126860152694222,0.129653124164305,0.126059378159233,0.126325663669986,0.129110870335314,0.127089234575114,0.127051429174118,0.12455348122625,0.12718346796751,0.125830146204482,0.127194205831068,0.128897289756924,0.128081886819989,0.130953634821916,0.129451637181434,0.127999204542661,0.123992706048182,0.132215663534254,0.126882732127523,0.128593897733492,0.126586045389395,0.125515164353462,0.130257935344244,0.130354545601583,0.123072049017554,0.132219662657868,0.124372448936461,0.00305920382919791
"stepwise_X",0.969597572408153,0.279889003991663,0.0977987420311096,0.0979626218819536,0.0960943376167957,0.10056883510489,0.0977953181460194,0.0964158079302753,0.0963798471531085,0.0962290727842123,0.100193432311088,0.0988430506905711,0.0962562351543528,0.0996782728985206,0.0995274660339718,0.0999924654662158,0.0988994366419882,0.0983462895322638,0.0969621941064316,0.0973989969854913,0.0969122655007694,0.0964432187884188,0.101059360601442,0.101495898397837,0.0989502767462564,0.097470216073682,0.101838523897169,0.0964871072737912,0.0984719292321698,0.094860052071361,0.103242590294077,0.0999899941588296,0.0982998901177305,0.101155084534023,0.0991737767052227,0.0994328621919705,0.0965124502965069,0.0992700810795239,0.0956199256594771,0.0975115087398203,0.0988975997445301,0.0993078011063776,0.0969395263500525,0.0984264741240226,0.0962712183969257,0.100051713597271,0.0952493719870529,0.0971763269626225,0.0964980668475073,0.09821756376784,0.0981950312706062,0.0944901248730152,0.0972259828584883,0.104465489391464,0.0942469000886817,0.0945833468823014,0.0985836061128167,0.0960380974778467,0.0982728738732134,0.0998222494120961,0.090929062662838,0.100130110986317,0.0974453209654048,0.096038511718027,0.101157730858047,0.0954113442390758,-0.000364176631505718
"two_step_LASSO",0.996189485761126,0.252485560069876,0.15254771673361,0.149681827414299,0.149244349824946,0.152387564964004,0.148106669507508,0.152739253552852,0.151358145098484,0.149630210037948,0.151659517023632,0.152312269587957,0.151711531087572,0.151610056746957,0.151408972195329,0.155099830138925,0.149874123622134,0.152813050945197,0.150746986294099,0.152408597023456,0.149586103640676,0.149453235209754,0.15306917480979,0.154449080487589,0.154817223604771,0.14952351087646,0.153097698377687,0.149413976397141,0.154549936470265,0.153778295087531,0.153567930821093,0.153715614913102,0.151388397335045,0.155163852952837,0.151064329051492,0.153236286327067,0.15094747953684,0.150980251005506,0.14756281246326,0.151321817574964,0.15336720874977,0.151319055668471,0.149660580953905,0.15223973735325,0.152713528108519,0.151780984335822,0.148375038753733,0.151298332083181,0.150465527605596,0.151121605759723,0.152928696363798,0.15126748873457,0.154558373308471,0.153444374768817,0.151993035362047,0.149791263018896,0.154125515179489,0.15219782109862,0.152452858552543,0.150744317093874,0.149453994372123,0.153389646586534,0.153087143221672,0.148881175937025,0.155215410454691,0.149446231662175,0.0047617786378135
"two_step_LASSO_X",0.996857082973979,0.252111410631791,0.14222273178186,0.142777375759234,0.140262044322217,0.144334853148619,0.139647326306681,0.143420394746908,0.142615441652502,0.140821108970185,0.144014748947673,0.144744550458787,0.143525610285276,0.143710631269663,0.143358005527052,0.148760430049127,0.14222272939972,0.144488277856497,0.142225493142217,0.143983930673846,0.142216525422196,0.142893971635925,0.143187499553012,0.145899922114862,0.145901413836063,0.141082634508817,0.144735953716283,0.141254535213444,0.14549028147861,0.143301005307845,0.145406500085685,0.144366228354205,0.14367559618462,0.146145195528815,0.142725478977611,0.144205232240085,0.142839288624089,0.142258546192753,0.140092098964317,0.145433456578665,0.144303643972242,0.145763847373225,0.142646607230526,0.142763739936271,0.144482575028936,0.144449119322642,0.140165799079736,0.14186368616397,0.142261481110457,0.142335408946978,0.144265951885065,0.142375395768237,0.146446990579934,0.145797341554524,0.143837179413554,0.142407097207072,0.144786068985947,0.144201267601427,0.143889371360133,0.142387008139229,0.139699338009839,0.144699278839546,0.145085563081301,0.139448645661415,0.147808422672285,0.140577503932229,0.00250338175851807
