"","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65"
"linear",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stepwise",1,0.21,0.18,0.19,0.15,0.13,0.17,0.12,0.12,0.16,0.16,0.17,0.17,0.21,0.14,0.12,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.14,0.16,0.15,0.15,0.15,0.2,0.13,0.15,0.11,0.18,0.15,0.15,0.22,0.17,0.16,0.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.24
"stepwise_X",1,0.11,0.15,0.05,0.17,0.26,0.2,0.16,0.19,0.14,0.18,0.17,0.15,0.17,0.18,0.13,0.12,0.16,0.2,0.12,0.17,0.15,0.13,0.07,0.09,0.18,0.14,0.18,0.22,0.13,0.12,0.17,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17
"two_step_LASSO",1,0.64,0.55,0.66,0.56,0.57,0.65,0.55,0.55,0.64,0.66,0.72,0.64,0.67,0.7,0.55,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.65,0.56,0.57,0.64,0.6,0.58,0.51,0.59,0.56,0.63,0.53,0.59,0.6,0.62,0.67,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61
"two_step_LASSO_X",1,0.53,0.59,0.62,0.52,0.59,0.61,0.59,0.64,0.61,0.6,0.55,0.53,0.62,0.61,0.52,0.56,0.63,0.61,0.61,0.56,0.54,0.65,0.54,0.58,0.58,0.51,0.6,0.61,0.62,0.51,0.58,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.57
