"","pred_mse","r_squared_X","r_squared_Y","causal_effect_est","causal_effect_mcse","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths"
"linear",0.932026706100828,0.440641280705612,0.626601469412625,0.534816723110963,0.00292134558207297,-3.01997239901741e-05,0.0263081154916682,0.98,16,16
"stepwise",0.945381097542869,0.440641280705612,0.621252355158667,0.535175541676081,0.00280255259230402,0.000328618841127344,0.0182983336501307,0.94,16,15.99
"stepwise_X",1.22297247907179,0.440641280705612,0.51008669389594,0.533609796777273,0.00310833026691341,-0.00123712605768061,0.0465376832485982,0.98,16,16
"two_step_LASSO",0.933544114934196,0.440641280705612,0.625992404792082,0.536596862832827,0.00291389421765966,0.00174993999787418,0.0244625223720335,0.94,16,16
"two_step_LASSO_X",1.07787103782801,0.440641280705612,0.56816413323323,0.534795370282412,0.00295240643218384,-5.15525525407312e-05,0.0371490508128384,0.98,16,16
