"","intercept","X","Z1","Z2","Z3"
"true_values",1,0.77899848424892,0.577350269189626,0.577350269189626,NA
"linear",0.983075178167762,0.787454058085306,0.569277365061683,0.567308126876318,0.00605539811627751
"stepwise",0.982968268470007,0.78748769451423,0.569298163202429,0.567203025366432,NA
"two_step_LASSO",0.983039821382264,0.78749963482018,0.569205430796611,0.567286140917862,NA
"two_step_least_angle",0.983039821382264,0.78749963482018,0.569205430796611,0.567286140917862,NA
"two_step_inf_fwd_stage",0.983039821382264,0.78749963482018,0.569205430796611,0.567286140917862,NA
