"","intercept","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41"
"true_values",1,0.230769230769231,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,NA
"linear",1.00551900461576,0.226166734343931,0.0180524325969684,0.019498531629216,0.0186424215090165,0.0200543573682214,0.0204021756967762,0.0199836343394272,0.0199271225655167,0.0200052280071941,0.0198331304032155,0.0181450546458438,0.0189057892906684,0.0200871618449009,0.0180554213484495,0.0202047796184815,0.0207787368543248,0.0180084492025408,0.0184709416985216,0.016764270630725,0.0199350828160239,0.0194781134540086,0.0180231558410736,0.0185933249251099,0.0197590576707095,0.019402130982013,0.0188192441768148,0.0196128408155883,0.0178968816473784,0.0183063705027362,0.0194585631309133,0.0204652603594834,0.019105554262304,0.019595669066451,0.0201843824539197,0.0211401571932078,0.0191740222195728,0.0189600240739031,0.0198789661809901,0.019154165414531,0.0211709157772658,0.020169701682653,0.000158095293555677
"stepwise",0.863013861967112,0.368672915579686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_LASSO",0.817270867743907,0.41441782477671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_least_angle",0.805465581817512,0.426229360041079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_inf_fwd_stage",0.785750852862589,0.446267496684118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
