"","pred_mse","r_squared_X","r_squared_Y","model_SE","emp_SE","causal_effect_est","causal_effect_mcse","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths"
"linear",0.686172830729315,0.438769656777051,0.625993038059985,0.0280858964514685,0.0278213666888982,0.25120836328629,0.000621673057159661,0.00120836328628964,0.0227196094384492,0.953,64,64
"stepwise",0.687158113213634,0.438769656777051,0.625454870950852,0.02793669375434,0.0289532152935447,0.253582865121828,0.000642598119237826,0.00358286512182825,0.0229527729498515,0.942,64,63.1865
"stepwise_X",0.714633940252756,0.438769656777051,0.61046463213909,0.0285562605486332,0.0299571065710417,0.25971600939205,0.000633809557421401,0.00971600939204996,0.0259914213600209,0.943,64,61.316
"two_step_LASSO",0.686173959856538,0.438769656777051,0.625992424913737,0.0280798002843685,0.0278217464776294,0.25121623154219,0.000621673884090133,0.00121623154218969,0.0227159483797987,0.953,64,63.987
"two_step_LASSO_X",0.687154044974865,0.438769656777051,0.625458453253962,0.028102494419456,0.0278282063880671,0.251223720053056,0.000621811156671851,0.00122372005305647,0.0227924039424947,0.953,64,63.9135
