"","mse","r_squared","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths","benchmark"
"linear",0.867284366274058,0.496983027442473,0.00473013586668839,0.092000458263375,0.96,10,10,642394
"stepwise",0.878614830533018,0.48506085952098,0.0260203806807581,0.0965258811100377,0.87,10,9.16,30560952.4
"two_step_LASSO",0.873874298574423,0.495425669418751,0.0123485317647663,0.0922007366110403,0.91,10,9.63,714075
"two_step_least_angle",0.873874298574423,0.495425669418751,0.0123485317647663,0.0922007366110403,0.91,10,9.63,674292.1
"two_step_inf_fwd_stage",0.874212959419002,0.49426904051783,0.0150404199419467,0.0931532143613022,0.92,10,9.58,752492.1
