"","mse","r_squared_X","r_squared_Y","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths"
"linear",0.970427635986715,0.415977293063463,0.610430919881399,0.00041576188111709,0.0381246866023807,0.952,12,12
"stepwise",0.972906534583024,0.415977293063463,0.609433846417767,0.0076876349912998,0.0394225368425291,0.924,12,11.186
"stepwise_X",1.00899426325563,0.415977293063463,0.594869865708535,0.0064717864250499,0.0444320452155805,0.951,12,11.317
"two_step_LASSO",0.971694989238194,0.415977293063463,0.609921869423937,0.00079715812338647,0.0367829852552196,0.949,12,11.858
"two_step_LASSO_X",0.971694989238194,0.415977293063463,0.609921869423937,0.00079715812338647,0.0367829852552196,0.949,12,11.858
