"","mse","r_squared","param_bias","causal_effect_bias","coverage","open_paths","blocked_paths","z_inclusion","benchmark"
"linear",0.00848828424178989,0.804043139116987,0.00595284778763424,-0.00731830368893806,0.95,20,20,1,1871598.4
"stepwise",0.00851761948819043,0.801336781790028,-0.00840618187855998,0.00418358406661566,0.92,20,19.61,0.85,13537052.3
"two_step_LASSO",0.00851883350944423,0.80253814177206,-0.00325938449821158,4.14092508575081e-05,0.94,20,19.64,0.92,2462371.55
"two_step_least_angle",0.00851883350944423,0.80253814177206,-0.00325938449821158,4.14092508575081e-05,0.94,20,19.64,0.92,2416878.9
"two_step_inf_fwd_stage",0.00851980442425272,0.802385304295302,-0.00384074280433948,0.000555356531257921,0.93,20,19.63,0.91,2593861.6
