"","mse","r_squared_X","r_squared_Y","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths","benchmark"
"linear",0.995295560348121,NA,0.555249043755988,-0.00725719262723086,0.0117902968059889,1,3,3,1925798
"stepwise",0.995421648213886,NA,0.55523992300832,-0.00730342332519857,0.010305838392734,1,3,3,26392836.1
"two_step_LASSO",0.995421648213886,NA,0.55523992300832,-0.00730342332519857,0.010305838392734,1,3,3,2096742.45
"two_step_least_angle",0.995421648213886,NA,0.55523992300832,-0.00730342332519857,0.010305838392734,1,3,3,2019452.05
"two_step_inf_fwd_stage",0.995421648213886,NA,0.55523992300832,-0.00730342332519857,0.010305838392734,1,3,3,1981669.9
